Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
146,8.95,cascade,both,0.9,0.4,80,"2h(0.2%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.73,-6.39,92.7,0.34,-0.44,23.27
147,8.95,cascade,both,0.9,0.4,80,"2h(0.3%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.73,-6.39,92.7,0.34,-0.44,23.27
148,8.95,cascade,both,0.9,0.4,80,"2h(0.4%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.73,-6.39,92.7,0.34,-0.44,23.27
149,8.95,cascade,both,0.9,0.4,80,"2h(0.5%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.73,-6.39,92.7,0.34,-0.44,23.27
150,8.95,cascade,both,0.9,0.4,80,"2h(0.6%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",12,33.3,-76.73,-6.39,92.7,0.34,-0.44,23.27
151,8.93,cascade,both,0.9,0.4,80,"2h(0.7%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,27.3,-91.35,-8.30,92.0,0.52,-0.29,8.65
152,8.53,cascade,both,0.9,0.4,80,"2h(0.7%,L5,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-75.25,-10.75,75.2,0.42,-0.43,24.75
153,7.96,cascade,both,0.9,0.4,80,"2h(0.3%,L3,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",15,33.3,-86.43,-5.76,95.7,0.19,-0.50,13.57
154,7.96,cascade,both,0.9,0.4,80,"2h(0.1%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-73.65,-10.52,76.6,0.34,-0.52,26.35
155,7.96,cascade,both,0.9,0.4,80,"2h(0.2%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-73.65,-10.52,76.6,0.34,-0.52,26.35
156,7.96,cascade,both,0.9,0.4,80,"2h(0.3%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-73.65,-10.52,76.6,0.34,-0.52,26.35
157,7.96,cascade,both,0.9,0.4,80,"2h(0.4%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-73.65,-10.52,76.6,0.34,-0.52,26.35
158,7.96,cascade,both,0.9,0.4,80,"2h(0.5%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-73.65,-10.52,76.6,0.34,-0.52,26.35
159,7.96,cascade,both,0.9,0.4,80,"2h(0.6%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,28.6,-73.65,-10.52,76.6,0.34,-0.52,26.35
