Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
128,10.31,cascade,both,0.9,0.4,1,"6h(0.1%,L3,B2)","6h: swing=0.1%, lookback=3, minLegBars=2",16,6.3,-7.11,-0.44,7.9,0.09,-1.29,92.89
129,10.31,cascade,both,0.9,0.4,1,"6h(0.2%,L3,B2)","6h: swing=0.2%, lookback=3, minLegBars=2",16,6.3,-7.11,-0.44,7.9,0.09,-1.29,92.89
130,10.31,cascade,both,0.9,0.4,1,"6h(0.3%,L3,B2)","6h: swing=0.3%, lookback=3, minLegBars=2",16,6.3,-7.11,-0.44,7.9,0.09,-1.29,92.89
131,10.31,cascade,both,0.9,0.4,1,"6h(0.4%,L3,B2)","6h: swing=0.4%, lookback=3, minLegBars=2",16,6.3,-7.11,-0.44,7.9,0.09,-1.29,92.89
132,10.31,cascade,both,0.9,0.4,1,"6h(0.5%,L3,B2)","6h: swing=0.5%, lookback=3, minLegBars=2",16,6.3,-7.11,-0.44,7.9,0.09,-1.29,92.89
133,10.31,cascade,both,0.9,0.4,1,"6h(0.6%,L3,B2)","6h: swing=0.6%, lookback=3, minLegBars=2",16,6.3,-7.11,-0.44,7.9,0.09,-1.29,92.89
134,10.31,cascade,both,0.9,0.4,1,"6h(0.7%,L3,B2)","6h: swing=0.7%, lookback=3, minLegBars=2",16,6.3,-7.11,-0.44,7.9,0.09,-1.29,92.89
135,9.84,cascade,both,0.9,0.4,1,"6h(0.1%,L1,B2)","6h: swing=0.1%, lookback=1, minLegBars=2",27,7.4,-12.05,-0.45,12.1,0.12,-1.25,87.95
136,9.84,cascade,both,0.9,0.4,1,"6h(0.2%,L1,B2)","6h: swing=0.2%, lookback=1, minLegBars=2",27,7.4,-12.05,-0.45,12.1,0.12,-1.25,87.95
137,9.00,cascade,both,0.9,0.4,1,"6h(0.5%,L1,B5)","6h: swing=0.5%, lookback=1, minLegBars=5",10,0.0,-5.00,-0.50,5.0,0.00,-2.87,95.00
138,9.00,cascade,both,0.9,0.4,1,"6h(0.6%,L1,B5)","6h: swing=0.6%, lookback=1, minLegBars=5",10,0.0,-5.00,-0.50,5.0,0.00,-2.87,95.00
139,9.00,cascade,both,0.9,0.4,1,"6h(0.1%,L3,B5)","6h: swing=0.1%, lookback=3, minLegBars=5",10,0.0,-5.01,-0.50,5.0,0.00,-2.87,94.99
140,9.00,cascade,both,0.9,0.4,1,"6h(0.2%,L3,B5)","6h: swing=0.2%, lookback=3, minLegBars=5",10,0.0,-5.01,-0.50,5.0,0.00,-2.87,94.99
141,9.00,cascade,both,0.9,0.4,1,"6h(0.3%,L3,B5)","6h: swing=0.3%, lookback=3, minLegBars=5",10,0.0,-5.01,-0.50,5.0,0.00,-2.87,94.99
142,9.00,cascade,both,0.9,0.4,1,"6h(0.4%,L3,B5)","6h: swing=0.4%, lookback=3, minLegBars=5",10,0.0,-5.01,-0.50,5.0,0.00,-2.87,94.99
143,9.00,cascade,both,0.9,0.4,1,"6h(0.5%,L3,B5)","6h: swing=0.5%, lookback=3, minLegBars=5",10,0.0,-5.01,-0.50,5.0,0.00,-2.87,94.99
144,9.00,cascade,both,0.9,0.4,1,"6h(0.6%,L3,B5)","6h: swing=0.6%, lookback=3, minLegBars=5",10,0.0,-5.01,-0.50,5.0,0.00,-2.87,94.99
145,9.00,cascade,both,0.9,0.4,1,"6h(0.7%,L3,B5)","6h: swing=0.7%, lookback=3, minLegBars=5",10,0.0,-5.01,-0.50,5.0,0.00,-2.87,94.99
146,8.98,cascade,both,0.9,0.4,1,"6h(0.1%,L4,B5)","6h: swing=0.1%, lookback=4, minLegBars=5",10,0.0,-5.10,-0.51,5.1,0.00,-2.84,94.90
147,8.98,cascade,both,0.9,0.4,1,"6h(0.2%,L4,B5)","6h: swing=0.2%, lookback=4, minLegBars=5",10,0.0,-5.10,-0.51,5.1,0.00,-2.84,94.90
148,8.98,cascade,both,0.9,0.4,1,"6h(0.3%,L4,B5)","6h: swing=0.3%, lookback=4, minLegBars=5",10,0.0,-5.10,-0.51,5.1,0.00,-2.84,94.90
149,8.98,cascade,both,0.9,0.4,1,"6h(0.4%,L4,B5)","6h: swing=0.4%, lookback=4, minLegBars=5",10,0.0,-5.10,-0.51,5.1,0.00,-2.84,94.90
150,8.98,cascade,both,0.9,0.4,1,"6h(0.5%,L4,B5)","6h: swing=0.5%, lookback=4, minLegBars=5",10,0.0,-5.10,-0.51,5.1,0.00,-2.84,94.90
151,8.98,cascade,both,0.9,0.4,1,"6h(0.6%,L4,B5)","6h: swing=0.6%, lookback=4, minLegBars=5",10,0.0,-5.10,-0.51,5.1,0.00,-2.84,94.90
152,8.98,cascade,both,0.9,0.4,1,"6h(0.7%,L4,B5)","6h: swing=0.7%, lookback=4, minLegBars=5",10,0.0,-5.10,-0.51,5.1,0.00,-2.84,94.90
153,8.89,cascade,both,0.9,0.4,1,"6h(0.1%,L3,B4)","6h: swing=0.1%, lookback=3, minLegBars=4",11,0.0,-5.56,-0.51,5.6,0.00,-3.03,94.44
154,8.89,cascade,both,0.9,0.4,1,"6h(0.2%,L3,B4)","6h: swing=0.2%, lookback=3, minLegBars=4",11,0.0,-5.56,-0.51,5.6,0.00,-3.03,94.44
155,8.89,cascade,both,0.9,0.4,1,"6h(0.3%,L3,B4)","6h: swing=0.3%, lookback=3, minLegBars=4",11,0.0,-5.56,-0.51,5.6,0.00,-3.03,94.44
156,8.89,cascade,both,0.9,0.4,1,"6h(0.4%,L3,B4)","6h: swing=0.4%, lookback=3, minLegBars=4",11,0.0,-5.56,-0.51,5.6,0.00,-3.03,94.44
157,8.89,cascade,both,0.9,0.4,1,"6h(0.5%,L3,B4)","6h: swing=0.5%, lookback=3, minLegBars=4",11,0.0,-5.56,-0.51,5.6,0.00,-3.03,94.44
158,8.89,cascade,both,0.9,0.4,1,"6h(0.6%,L3,B4)","6h: swing=0.6%, lookback=3, minLegBars=4",11,0.0,-5.56,-0.51,5.6,0.00,-3.03,94.44
